word_id,sent_id,is_primary
weg-sein-v,g-weg-sein-v,1
weh-tun-v,g-weh-tun-v,1
wehtun-v,g-wehtun-v,1
weiblich-a,g-weiblich-a,1
wein-n,t1898477,1
weit-a,t603770,1
weiter-o,g-weiter-o,1
weiss-a,g-weiss-a,1
welche-o,t415185,1
welcher-o,g-welcher-o,1
welches-o,t340918,1
welt-n,t431,1
wenig-a,t519218,1
wer-p,g-wer-p,1
werden-v,g-werden-v,1
westen-n,t602707,1
wetter-n,t358127,1
wichtig-a,t2593042,1
wie-a,g-wie-a,1
wie-viel-a,g-wie-viel-a,1
wieder-a,t417487,1
wieder-holen-v,g-wieder-holen-v,1
wiederholen-v,t1068,1
wiederhoeren-n,t13838292,1
wiedersehen-n,g-wiedersehen-n,1
willkommen-a,g-willkommen-a,1
wind-n,t369925,1
winter-n,t869,1
wir-o,t1039,1
wissen-v,t245,1
wo-a,t1058,1
woche-n,t602960,1
wochenende-n,t633574,1
wochentag-n,t2376990,1
woher-o,t358210,1
wohin-o,t639926,1
wohnen-v,t925550,1
wohnung-n,t4878289,1
wollen-v,t346,1
wort-n,t947990,1
wunderbar-a,t4532558,1
zahlen-v,t1898525,1
zehn-o,t1242104,1
zeit-n,t414196,1
zeitung-n,t1462201,1
zentimeter-n,t905451,1
zigarette-n,t10178857,1
zimmer-n,t341553,1
zirka-a,t13761983,1
zoll-n,t437630,1
zu-p,t695,1
zu-p-2,g-zu-p-2,1
zu-sein-v,g-zu-sein-v,1
zufrieden-a,t353545,1
zug-n,t1190957,1
zurzeit-a,t5502484,1
zurueck-a,t417487,1
zusammen-a,t1507205,1
zwanzig-o,t705779,1
zwei-o,t1315755,1
zweihundert-o,t762109,1
zweite-o,t3067567,1
zwischen-p,t601803,1
zwoelf-o,t3461787,1
oeffnen-v,t484201,1
oel-n,t9107176,1
ueber-p,g-ueber-p,1
uebernachten-v,t621675,1
ueberweisen-v,t13631457,1
s-o,g-s-o,1
abschliessen-v,t1843976,1
ahnung-n,t3153371,1
aktiv-a,t613667,1
aktuell-a,t437921,1
als-c,t689507,1
ampel-n,t1674360,1
anders-a,t1389876,1
angst-n,t369774,1
ansehen-v,t638619,1
anzug-n,t657416,1
apotheke-n,t8320705,1
apparat-n,t4145020,1
arm-a,t412967,1
artikel-n,t358419,1
auf-jeden-fall-p,t1802401,1
auf-keinen-fall-p,t12857603,1
aufmachen-v,t1527861,1
aufpassen-v,t568172,1
aufregen-v,t7462982,1
aufraeumen-v,t359528,1
ausbildung-n,t1771171,1
ausgeben-v,t360785,1
ausgehen-v,t1039,1
auspacken-v,t6863750,1
ausruhen-v,t338304,1
aussprechen-v,t613584,1
ausstellung-n,t5776687,1
austauschen-v,t9579306,1
austragen-v,t702019,1
ausser-p,t7975004,1
ausserdem-a,t902124,1
ausserhalb-a,t2080722,1
babysitter-n,t2422426,1
backen-v,t353779,1
ball-n,t4020443,1
band-n,g-band-n,1
basketball-n,t6544911,1
basteln-v,t2327487,1
bauen-v,t8509765,1
baustelle-n,t2784682,1
beantworten-v,t511458,1
bedanken-v,t1707157,1
beeilen-v,t1314593,1
beenden-v,t3778658,1
begruenden-v,t13857700,1
beliebt-o,t662186,1
bequem-a,t352100,1
beraten-v,t1044031,1
berg-n,t353851,1
berichten-v,t12631551,1
beruehmt-o,t3337471,1
bescheid-n,t8190716,1
beschreiben-v,t12885244,1
beschweren-v,t11995268,1
besonders-a,t1661327,1
bestehen-v,t6787448,1
bestaetigen-v,t1920720,1
besuch-n,t135760,1
besucht-o,t6468208,1
bewerben-v,g-bewerben-v,1
bewerbung-n,g-bewerbung-n,1
bewoelkt-o,t738203,1
bibliothek-n,t725134,1
blatt-n,t431475,1
blog-n,t8500123,1
blond-a,t393036,1
bluse-n,t1494532,1
bloed-a,t3239605,1
bloede-a,t6394079,1
bohne-n,t8320777,1
braten-v,t1762747,1
brille-n,t359646,1
bruecke-n,t348415,1
buchen-v,t2422478,1
bunt-a,t2625070,1
buero-n,t836116,1
cafeteria-n,t8641534,1
chatten-v,t11391397,1
chefin-n,t2658863,1
circus-n,g-circus-n,1
club-n,t1399725,1
comic-n,t7814006,1
creme-n,t9523966,1
creme-n-2,g-creme-n-2,1
dabei-o,t6170216,1
dafuer-o,t1688253,1
dagegen-o,t2137951,1
damals-a,t367255,1
dame-n,t927824,1
darauf-o,t358115,1
darueber-o,t7161463,1
dass-c,t1773934,1
datei-n,t12155253,1
denken-v,t6023678,1
deshalb-c,t347993,1
deutlich-a,t560632,1
dick-a,t1228,1
ding-n,t381394,1
direkt-a,t7452682,1
disco-n,g-disco-n,1
disko-n,t435727,1
diskutieren-v,t2348631,1
doch-a,t5296963,1
dorther-o,g-dorther-o,1
dorthin-o,t473546,1
dringend-o,t3412154,1
drinnen-a,t13609180,1
drueben-a,t13718216,1
dumm-a,t5830126,1
dunkel-a,t839,1
duenn-a,t3896157,1
e-book-n,g-e-book-n,1
echt-a,t1314896,1
egal-a,t518341,1
ehepartner-n,t1201887,1
eigen-a,t549905,1
eigentlich-a,t1707157,1
ein-mal-a,g-ein-mal-a,1
einige-o,t3290167,1
einkaufszentrum-n,t12030333,1
einmal-a,t602960,1
einpacken-v,t7528658,1
eintragen-v,t7769544,1
einverstanden-o,t669775,1
einzeln-a,t395420,1
einziehen-v,t3781074,1
eis-n,t674009,1
endlich-a,t3251298,1
eng-a,t11199662,1
erdgeschoss-n,t4784658,1
erfahrung-n,t696293,1
erinnern-v,t497254,1
erlaubnis-n,t652441,1
ermaessigung-n,t13961502,1
erreichen-v,t1819225,1
erst-a,g-erst-a,1
etwas-o,t632916,1
fach-n,t372602,1
fahrplan-n,t3598343,1
fallen-v,t620,1
fan-n,t2266393,1
fantastisch-a,t8591771,1
fast-a,t464636,1
faul-a,t2109047,1
feier-n,t2121631,1
fenster-n,t446381,1
ferien-n,t619,1
fest-n,t2457712,1
festival-n,t4696134,1
fett-a,t943001,1
fit-a,t2215897,1
fleissig-a,t1179645,1
flohmarkt-n,t8684851,1
flug-n,t4488040,1
fluss-n,t399459,1
fotoapparat-n,t345393,1
fotografieren-v,t1507944,1
freiwillig-a,t562467,1
freundlich-a,t644917,1
frisch-a,t402000,1
froh-a,t782823,1
frueh-a,t476098,1
fundsache-n,g-fundsache-n,1
furchtbar-a,t7154298,1
fuehlen-v,t399,1
fuehrerschein-n,t452427,1
gabel-n,t2756915,1
ganz-a,t6610181,1
garage-n,t1339112,1
gefaehrlich-a,t754807,1
gegenteil-n,t2190096,1
gegenueber-p,t936396,1
gegenueber-a,t925550,1
gehalt-n,t689403,1
geldboerse-n,t5504511,1
genau-a,t362674,1
genug-o,t688315,1
gericht-n,t6147507,1
geraet-n,t13061975,1
geschichte-n,t621233,1
geschirr-n,t829017,1
gesund-a,t1471551,1
gesundheit-n,t478176,1
gewitter-n,t2445224,1
gitarre-n,t7057412,1
grippe-n,t783798,1
hals-n,t2845853,1
hamburger-n,t8097279,1
handtuch-n,t5868849,1
hart-a,g-hart-a,1
hauptstadt-n,g-hauptstadt-n,1
haushalt-n,t489560,1
heft-n,t5885518,1
heizung-n,t4232329,1
heiss-a,t394263,1
hemd-n,t372898,1
her-a,t8218619,1
her-o,g-her-o,1
heraus-a,t706270,1
herein-a,t696199,1
herstellen-v,t777850,1
herunterladen-v,t1225772,1
himmel-n,t2418656,1
hin-a,t373,1
hin-o,g-hin-o,1
hinter-p,t843945,1
hoffen-v,t4954552,1
hoffentlich-a,t12589792,1
homepage-n,g-homepage-n,1
hose-n,t1399552,1
husten-v,t3370860,1
haendetuch-n,g-haendetuch-n,1
haengen-v,t633647,1
haesslich-a,t764899,1
idee-n,t372,1
informieren-v,t13651025,1
insel-n,t353620,1
